nodeId:ID,location,centroid,lng,lat,:LABEL
南京_丁家庄南地铁站_10,"[[118.8436835, 32.1096993], [118.851656, 32.107088], [118.8591295, 32.1057337], [118.8613814, 32.1073798], [118.8626066, 32.1118981], [118.854253, 32.1196598], [118.851207, 32.1197017], [118.8458593, 32.1189016], [118.8457275, 32.1188287], [118.8436976, 32.1098156], [118.8436835, 32.1096993]]","(118.85292300155369, 32.112643179528035)",118.85292300155369,32.112643179528035,staion_isochrone
南京_丁家庄南地铁站_5,"[[118.8478853, 32.1107589], [118.851656, 32.107088], [118.8578968, 32.1099709], [118.8601842, 32.1111537], [118.8582335, 32.1145853], [118.8576533, 32.1153285], [118.8559391, 32.116506], [118.8539570430963, 32.116028401894354], [118.8485488, 32.1162061], [118.848417, 32.1161248], [118.8478853, 32.1107589]]","(118.85337713449019, 32.11227358589618)",118.85337713449019,32.11227358589618,staion_isochrone
南京_丁家庄地铁站_10,"[[118.838637, 32.1177681], [118.8387224, 32.1150805], [118.8396332, 32.1077486], [118.8412051, 32.1074355], [118.851656, 32.107088], [118.8549056, 32.1097182], [118.8550214, 32.1125892], [118.8550983, 32.1158989], [118.8550345, 32.115993], [118.8527865, 32.1187855], [118.850716, 32.1214652], [118.850627, 32.1215774], [118.8452429, 32.1229462], [118.8403188, 32.1238575], [118.838637, 32.1177681]]","(118.84640141122497, 32.11476632023966)",118.84640141122497,32.11476632023966,staion_isochrone
南京_丁家庄地铁站_5,"[[118.8415829, 32.1126079], [118.8436835, 32.1096993], [118.8497459, 32.1090346], [118.8514605, 32.1130832], [118.8514258, 32.1132435], [118.84951958488766, 32.115206431140706], [118.8492876, 32.1185621], [118.844482, 32.1203338], [118.8407435, 32.1212445], [118.8406092, 32.1211834], [118.8400405, 32.1208598], [118.838637, 32.1177681], [118.8387224, 32.1150805], [118.8415829, 32.1126079]]","(118.84489877356502, 32.11508726942095)",118.84489877356502,32.11508726942095,staion_isochrone
南京_万寿地铁站_10,"[[118.8257434, 32.1143751], [118.8291786, 32.1138189], [118.8344657, 32.1175317], [118.8383182, 32.1220131], [118.8371861, 32.1257135], [118.8301222, 32.1311539], [118.8299735, 32.131093], [118.8191959, 32.124601], [118.8169382, 32.1190773], [118.8169562, 32.1189348], [118.8171628, 32.1178622], [118.8175799, 32.1174147], [118.8217275, 32.1157955], [118.8257434, 32.1143751]]","(118.82780048031493, 32.12190714983279)",118.82780048031493,32.12190714983279,staion_isochrone
南京_万寿地铁站_5,"[[118.8255689, 32.1163822], [118.8276487, 32.1158249], [118.8292222, 32.1161532], [118.8382403, 32.1221651], [118.83625219157486, 32.12314236375684], [118.8369098, 32.1240328], [118.8295137, 32.1264547], [118.826476, 32.1263701], [118.8231816, 32.1226033], [118.8203865, 32.1190281], [118.8203914, 32.1184449], [118.8255689, 32.1163822]]","(118.82884117360916, 32.12125673887232)",118.82884117360916,32.12125673887232,staion_isochrone
南京_三山街地铁站_10,"[[118.7655236, 32.0199663], [118.7692362, 32.0159271], [118.7719345, 32.0133296], [118.776941, 32.0137683], [118.7780184, 32.01394], [118.7787365, 32.0141207], [118.7795981, 32.0143954], [118.7806473, 32.0150438], [118.7834503, 32.0174537], [118.7879854, 32.0225326], [118.7878599, 32.0255516], [118.7878142, 32.0257172], [118.7869153, 32.0276296], [118.7851643, 32.0293517], [118.7832527, 32.0329147], [118.7803, 32.0355473], [118.7793743, 32.0356521], [118.7780041, 32.0356889], [118.7663715, 32.031867], [118.7661436, 32.0314184], [118.76596299315783, 32.026054287131785], [118.7652752, 32.023541], [118.7648369, 32.0210559], [118.7655236, 32.0199663]]","(118.77606777930211, 32.0244906199345)",118.77606777930211,32.0244906199345,staion_isochrone
南京_三山街地铁站_5,"[[118.7695067, 32.0199035], [118.7725757, 32.0166243], [118.7729021, 32.0164821], [118.7765453, 32.016568], [118.777096, 32.0166009], [118.7780303, 32.0171045], [118.78010007771042, 32.01874725226009], [118.7833994, 32.0203576], [118.7838974, 32.021862], [118.7841989, 32.0233444], [118.7839756, 32.0246644], [118.7838493, 32.0252299], [118.78246426290232, 32.0267256769753], [118.7822687, 32.0285523], [118.781029, 32.0305851], [118.7788861, 32.032764], [118.7747528, 32.0315074], [118.7727189, 32.0306568], [118.769876, 32.0288531], [118.76987305697429, 32.02838914914929], [118.7688907, 32.0280071], [118.7682752, 32.0235741], [118.7695067, 32.0199035]]","(118.77608518504948, 32.02428730251783)",118.77608518504948,32.02428730251783,staion_isochrone
南京_上元门地铁站_10,"[[118.7544101, 32.110723], [118.7602669, 32.1091964], [118.76529120293905, 32.110018699199], [118.7684622, 32.1100685], [118.7731022, 32.1119681], [118.7733891, 32.1121154], [118.7736958, 32.1131855], [118.773611, 32.117224], [118.7734581, 32.1232263], [118.7623625, 32.1205282], [118.7546432, 32.1130403], [118.753788, 32.1120671], [118.7544101, 32.110723]]","(118.76535402650362, 32.11538304293188)",118.76535402650362,32.11538304293188,staion_isochrone
南京_上元门地铁站_5,"[[118.7599003, 32.1148579], [118.7716125, 32.1129441], [118.7719848, 32.1132259], [118.7720776, 32.1136538], [118.7702052, 32.1198234], [118.7623625, 32.1205282], [118.75813, 32.1160209], [118.7599003, 32.1148579]]","(118.76570719886392, 32.11680241815593)",118.76570719886392,32.11680241815593,staion_isochrone
